Tanggal,ID Transaksi,Items
2021-05-31,PJ0087,"Sampoerna Mild JR Rokok 50gr,Buffalo Baret"
2021-06-01,PJ0088,"Sampoerna Mild JR Rokok 50gr,Cappuchino Milk Duren Simadu,Alat Lintink Kecil Mild,Lem V-tro kecil 10gr,Lem V-tro besar 25gr,3P Cap Nona 150gr Hitam,Buffalo Baret,Duren Simadu Silky Melon Mint"
2021-06-01,PJ0089,"Buffalo Baret,Plastik Alat Linting"
2021-06-02,PJ0090,"Warning 50gr,Whisky choice SW PREMIUM,Alat Lintink Kecil Mild,Lem V-tro kecil 10gr,Papir rokok,Buffalo Baret,Duren Simadu Bubblegum Ice,BUSA Mild 35gr"
2021-06-03,PJ450091,Narayana
2021-06-04,PJ340092,"3P ONAN 50gr Putih,Sampoerna Mild JR Rokok 100gr,Grape ICE Jago rasa New50,Warning 50gr,Cappucino choice SW PREMIUM,Burung Hantu,Buffalo Baret,Violin,Cengkeh,Tasty Manggo,BUSA Regular Menthol 35Gr"
2021-06-04,PJ410093,"Lem V-tro besar 25gr,RM,BUSA Regular 35gr,BUSA Klik Regular Menthol 35Gr"
2021-06-04,PJ070094,Duren Simadu Manggo Mint
2021-06-04,PJ590095,3P ONAN 50gr Hitam
2021-06-04,PJ330096,BUSA Regular 35gr
2021-06-04,PJ420097,Duren Simadu Banana Milky Ice
2021-06-05,PJ040098,"Warning 50gr,Lem V-tro kecil 10gr,Lem V-tro besar 25gr,Buffalo Baret,Tasty Manggo,Plastik Alat Linting"
2021-06-06,PJ260099,"3PUTRI Cap Nona 120gr Hitam,3P Cap Nona 120gr Hitam,Buffalo Baret,Cengkeh,Duren Simadu Banana Milky Ice,BUSA Mild 35gr,BUSA Mild Menthol 35gr,Plastik Alat Linting,curah mild 100gr"
2021-06-06,PJ3900100,"3PUTRI Cap Nona 100gr Pink,3P Cap Nona 100gr Pink"
2021-06-07,PJ5200101,"3P ONAN 50gr Putih,Marlboro Merah JR Rokok 100gr,Buffalo Baret,Narayana,Cengkeh,Duren Simadu Silky Melon Mint,BUSA Karkol 50Gr"
2021-06-08,PJ5400102,"Marlboro Menthol JR Rokok 50gr,Warning 50gr,Black Coffe SW Prime,Lem V-tro kecil 10gr,Buffalo Baret,BUSA Mild 35gr"
2021-06-09,PJ2700104,"3PUTRI Cap Nona 120gr Hitam,3P Cap Nona 120gr Hitam,Buffalo Baret"
